"Item name","Total sale","Amount"
"Sheek Kebab","371","1528.65"
"Lime Tree Special Mix","100","935.30"
"Onion Bhajee","95","322.00"
"Squid","84","415.80"
"Lassoni Mussels","43","198.95"
"Lamb Seekh Kebab","25","113.75"
"Tandoori King Prawn","14","59.75"
"Meat Samosa","10","35.55"
"Sweet Chilli Poneer","8","36.00"
"Vegetable Samosa","8","27.65"
"Chicken Tikka","7","23.70"
"Lamb Tikka","6","15.80"
"Soft Drink","5","9.75"
"Samosa(Vegetable Samosa)","5","7.90"
"Cheese Burger(Large Fries+7Up+juice+test4)","4","21.70"
"Mineral","4","16.80"
"Samosa","4","15.80"
"Fruit Juice","4","7.80"
"Mixed Vegetable Masala Balti","3","31.80"
"Cheese Burger(Fries+Pepsi+lemon drink+test3)","3","17.90"
